user_id,persona_type,gender,age,province,city,tenure_months,arpu_yuan,data_usage_gb,call_minutes,current_plan,device,preferred_channel,interested_features,satisfaction,churn_risk,interaction_count,last_interaction_days
CM000164,潮流青年,男,23,黑龙江,哈尔滨,95,104.85,60.2,81,全球通188元,小米14,营业厅,视频会员|流量不限量|游戏加速,满意,高风险,20,62
CM000165,蓝领工人,男,29,上海,静安区,227,70.08,34.6,364,和家庭168,Redmi Note 12,网上营业厅,务工套餐|老乡号码|闲时流量,满意,中低风险,14,40
CM000166,蓝领工人,男,22,重庆,南岸区,54,40.39,30.7,553,动感地带18元,vivo X100,微信公众号,务工套餐|闲时流量|老乡号码,一般,高风险,14,20
CM000167,潮流青年,男,16,海南,三亚,61,51.59,149.2,170,移动大流量卡,三星S24,网上营业厅,音乐畅听|流量不限量|视频会员,满意,中低风险,1,46
CM000168,商务精英,男,52,四川,宜宾,189,264.62,94.1,1903,动感地带18元,小米14,微信公众号,商务彩铃|5G极速套餐|国际漫游,一般,中高风险,19,85
CM000169,商务精英,女,44,云南,曲靖,220,187.31,65.4,406,全球通388元,iPhone 14,微信公众号,国际漫游|商务彩铃|5G极速套餐,满意,中高风险,14,20
CM000170,银发一族,女,55,吉林,延边,162,55.8,4.0,451,移动大流量卡,iPhone SE,APP,防诈提醒|紧急呼叫|健康监测,非常满意,中低风险,22,14
CM000171,学生群体,女,17,四川,宜宾,51,51.02,35.3,102,神州行38元,OPPO Find X6,10086热线,兼职通话|夜间流量|假期短号,非常不满意,中低风险,24,47
CM000172,家庭用户,男,43,湖北,襄阳,108,220.38,31.5,728,全球通188元,小米14,短信营业厅,家庭共享套餐|儿童手表|亲情号码,一般,中风险,15,15
CM000173,学生群体,女,13,青海,德令哈,183,56.61,50.1,23,5G智享套餐,华为畅享,微信公众号,兼职通话|学习APP免流|假期短号,满意,高风险,37,79
CM000174,潮流青年,女,23,海南,三亚,43,71.04,82.8,233,全球通388元,荣耀Magic6,APP,流量不限量|视频会员|音乐畅听,满意,中低风险,18,17
CM000175,家庭用户,女,31,福建,泉州,77,235.94,28.8,490,全球通88元,荣耀Magic6,短信营业厅,宽带融合|亲情号码|智能家居,一般,低风险,12,4
CM000176,蓝领工人,女,44,云南,丽江,53,52.52,12.4,490,神州行38元,三星S24,短信营业厅,视频通话|语音优惠|闲时流量,一般,高风险,3,16
CM000177,学生群体,男,21,云南,玉溪,159,41.24,52.0,130,神州行孝心卡,iPhone 14,营业厅,兼职通话|假期短号|学习APP免流,满意,中低风险,30,1
CM000178,家庭用户,男,32,山西,长治,18,113.23,22.4,546,动感地带校园版,荣耀Magic6,10086热线,儿童手表|宽带融合|家庭共享套餐,不满意,中低风险,17,14
CM000179,潮流青年,女,28,海南,文昌,221,59.97,43.3,84,全球通88元,华为Mate 60,网上营业厅,游戏加速|社交免流|流量不限量,非常满意,中低风险,17,21
CM000180,潮流青年,男,16,云南,大理,38,108.13,44.5,202,动感地带校园版,OPPO Find X6,10086热线,社交免流|音乐畅听|流量不限量,不满意,中风险,16,20
CM000181,银发一族,女,69,湖南,衡阳,106,45.85,4.3,280,和家庭168,OPPO Find X6,营业厅,语音畅聊包|大字版APP|紧急呼叫,满意,高风险,21,20
CM000182,潮流青年,男,28,河北,邯郸,150,107.79,38.2,163,全球通188元,vivo X100,营业厅,音乐畅听|视频会员|社交免流,满意,中低风险,23,65
CM000183,银发一族,男,70,广东,深圳,111,26.98,4.6,290,和家庭198,小米13,微信公众号,大字版APP|紧急呼叫|健康监测,满意,高风险,16,9
CM000184,学生群体,男,22,湖南,株洲,73,31.23,43.8,146,移动畅享套餐,小米14,10086热线,学习APP免流|校园流量包|兼职通话,一般,中低风险,25,20
CM000185,学生群体,男,12,吉林,吉林,173,21.75,64.9,63,全球通388元,三星S24,APP,假期短号|兼职通话|夜间流量,非常满意,中低风险,23,2
CM000186,潮流青年,女,16,山东,济南,139,55.32,64.0,249,和家庭168,iPhone 15 Pro,网上营业厅,视频会员|音乐畅听|社交免流,一般,中低风险,22,2
CM000187,蓝领工人,女,36,河北,保定,47,38.56,19.2,542,神州行孝心卡,Redmi Note 12,营业厅,闲时流量|老乡号码|视频通话,满意,低风险,22,61
CM000188,银发一族,男,66,内蒙古,包头,235,37.89,3.6,269,移动大流量卡,realme GT5,APP,防诈提醒|语音畅聊包|健康监测,满意,低风险,19,32
CM000189,家庭用户,女,49,福建,厦门,8,191.4,34.4,664,动感地带18元,荣耀Magic6,营业厅,亲情号码|家庭共享套餐|宽带融合,满意,中高风险,12,43
CM000190,商务精英,男,38,贵州,贵阳,61,275.81,85.9,1665,全球通128元,Redmi Note 12,短信营业厅,企业VPN|5G极速套餐|国际漫游,满意,低风险,21,24
CM000191,潮流青年,男,26,黑龙江,齐齐哈尔,1,118.15,58.5,179,动感地带校园版,华为畅享,营业厅,游戏加速|音乐畅听|社交免流,满意,中低风险,23,6
CM000192,银发一族,男,59,新疆,克拉玛依,97,28.75,3.3,312,动感地带校园版,realme GT5,10086热线,防诈提醒|语音畅聊包|紧急呼叫,不满意,中风险,21,38
CM000193,家庭用户,男,44,江西,宜春,93,237.4,56.6,259,全球通88元,小米13,APP,智能家居|儿童手表|亲情号码,非常不满意,中风险,25,69
CM000194,家庭用户,男,34,海南,琼海,183,167.79,47.8,370,全球通288元,OPPO Find X6,微信公众号,宽带融合|亲情号码|家庭共享套餐,不满意,低风险,17,21
CM000195,潮流青年,女,25,江西,南昌,143,80.79,97.3,112,全球通88元,华为畅享,营业厅,流量不限量|游戏加速|音乐畅听,满意,中风险,4,16
CM000196,学生群体,男,18,河南,开封,22,45.25,35.6,142,神州行38元,华为畅享,短信营业厅,校园流量包|学习APP免流|假期短号,不满意,中低风险,25,43
CM000197,家庭用户,女,32,四川,绵阳,204,175.38,19.6,269,移动大流量卡,华为Mate 60,微信公众号,家庭共享套餐|宽带融合|儿童手表,一般,低风险,5,17
CM000198,学生群体,男,14,江西,南昌,79,24.9,23.6,90,5G融合套餐299,iPhone 15 Pro,网上营业厅,兼职通话|假期短号|夜间流量,一般,中风险,16,27
CM000199,银发一族,男,70,重庆,九龙坡区,119,46.98,4.8,582,全球通128元,iPhone 14,10086热线,紧急呼叫|健康监测|语音畅聊包,非常满意,中风险,17,58
CM000200,潮流青年,女,16,湖北,武汉,3,69.02,96.6,131,移动畅享套餐,华为Mate 60,10086热线,视频会员|流量不限量|游戏加速,一般,低风险,17,29
CM000201,潮流青年,男,16,天津,河北区,106,100.5,113.2,95,和家庭198,iPhone 15 Pro,营业厅,游戏加速|社交免流|流量不限量,一般,中风险,16,82
CM000202,银发一族,女,63,陕西,渭南,68,44.12,0.7,274,5G融合套餐299,小米13,10086热线,语音畅聊包|紧急呼叫|大字版APP,一般,中低风险,4,32
CM000203,蓝领工人,男,31,四川,绵阳,91,57.31,19.3,556,移动畅享套餐,荣耀Magic6,营业厅,视频通话|老乡号码|语音优惠,不满意,低风险,11,3
CM000204,家庭用户,女,34,陕西,延安,176,134.09,45.7,534,移动畅享套餐,三星S24,短信营业厅,智能家居|亲情号码|儿童手表,非常不满意,高风险,12,8
CM000205,家庭用户,女,31,内蒙古,包头,192,172.25,22.7,291,全球通128元,华为P60,10086热线,智能家居|家庭共享套餐|宽带融合,满意,高风险,9,50
CM000206,学生群体,女,17,北京,西城区,12,52.44,35.8,138,移动大流量卡,iPhone 15 Pro,营业厅,学习APP免流|兼职通话|夜间流量,满意,低风险,12,69
CM000207,银发一族,男,70,西藏,林芝,140,55.49,3.3,439,和家庭198,vivo X100,10086热线,防诈提醒|健康监测|大字版APP,一般,中风险,12,12
CM000208,家庭用户,女,48,宁夏,吴忠,192,151.65,38.0,291,移动畅享套餐,华为畅享,营业厅,亲情号码|智能家居|家庭共享套餐,满意,低风险,11,40
CM000209,潮流青年,女,26,青海,格尔木,133,98.57,47.9,149,全球通128元,iPhone SE,网上营业厅,音乐畅听|社交免流|游戏加速,一般,高风险,17,22
CM000210,学生群体,男,13,福建,福州,213,26.4,75.0,95,和家庭198,三星S24,APP,校园流量包|假期短号|兼职通话,不满意,中风险,15,17
CM000211,蓝领工人,男,32,河南,郑州,167,74.58,15.3,546,和家庭168,三星S24,APP,视频通话|闲时流量|老乡号码,非常不满意,中高风险,16,8
CM000212,学生群体,女,17,广东,深圳,39,33.71,50.1,107,移动畅享套餐,华为Mate 60,APP,校园流量包|学习APP免流|夜间流量,满意,中低风险,24,14
CM000213,商务精英,男,44,西藏,林芝,86,337.01,48.0,1096,全球通128元,华为P60,微信公众号,国际漫游|商务彩铃|云存储,不满意,低风险,7,8
CM000214,商务精英,女,55,浙江,嘉兴,200,434.71,79.2,1432,和家庭168,小米14,网上营业厅,商务彩铃|国际漫游|企业VPN,一般,低风险,2,118
CM000215,家庭用户,男,42,内蒙古,通辽,113,94.31,19.9,770,移动大流量卡,华为畅享,网上营业厅,亲情号码|智能家居|家庭共享套餐,一般,中低风险,30,49
CM000216,家庭用户,男,37,江苏,南京,211,147.89,52.6,296,全球通128元,vivo X100,10086热线,亲情号码|宽带融合|家庭共享套餐,一般,中低风险,18,0
CM000217,蓝领工人,男,36,宁夏,中卫,172,76.32,27.7,438,移动畅享套餐,vivo X100,APP,语音优惠|务工套餐|视频通话,一般,低风险,15,27
CM000218,商务精英,男,29,天津,河东区,21,522.82,37.8,1646,移动大流量卡,iPhone 15 Pro,营业厅,国际漫游|5G极速套餐|企业VPN,不满意,低风险,12,3
CM000219,商务精英,男,53,四川,绵阳,28,517.98,70.6,646,动感地带校园版,华为Mate 60,微信公众号,商务彩铃|国际漫游|5G极速套餐,一般,低风险,13,45
CM000220,潮流青年,男,25,河南,南阳,240,117.71,75.0,262,全球通288元,华为P60,网上营业厅,视频会员|社交免流|音乐畅听,满意,中低风险,19,1
CM000221,银发一族,女,67,福建,莆田,55,38.17,3.6,152,和家庭168,荣耀Magic6,APP,防诈提醒|语音畅聊包|健康监测,非常满意,中风险,8,61
CM000222,商务精英,女,36,重庆,江北区,155,351.15,38.3,1129,动感地带18元,小米13,网上营业厅,云存储|商务彩铃|企业VPN,满意,中风险,21,64
CM000223,银发一族,男,74,海南,儋州,86,26.03,0.6,434,全球通288元,华为P60,微信公众号,防诈提醒|紧急呼叫|健康监测,不满意,高风险,20,13
CM000224,潮流青年,男,23,云南,玉溪,200,114.86,71.1,103,动感地带校园版,小米14,短信营业厅,视频会员|音乐畅听|社交免流,非常满意,中高风险,9,82
CM000225,家庭用户,女,30,山东,烟台,146,134.38,58.1,320,5G融合套餐299,iPhone SE,APP,儿童手表|家庭共享套餐|亲情号码,一般,中低风险,29,40
CM000226,潮流青年,女,16,天津,河北区,85,91.03,100.6,250,动感地带18元,荣耀Magic6,网上营业厅,游戏加速|社交免流|流量不限量,一般,中低风险,24,2
CM000227,商务精英,女,44,宁夏,固原,225,449.77,59.5,1933,神州行孝心卡,realme GT5,10086热线,国际漫游|企业VPN|5G极速套餐,满意,中风险,1,24
CM000228,潮流青年,女,22,陕西,西安,175,124.13,69.0,236,全球通128元,荣耀Magic6,营业厅,游戏加速|音乐畅听|社交免流,不满意,中低风险,20,23
CM000229,银发一族,男,78,江西,南昌,225,51.48,1.5,437,和家庭198,小米14,10086热线,紧急呼叫|健康监测|防诈提醒,非常不满意,中低风险,19,27
CM000230,潮流青年,女,25,上海,徐汇区,30,40.04,82.3,207,神州行孝心卡,iPhone SE,10086热线,流量不限量|游戏加速|音乐畅听,满意,低风险,4,6
CM000231,商务精英,女,55,湖南,株洲,124,531.16,92.2,907,和家庭168,荣耀Magic6,微信公众号,国际漫游|商务彩铃|5G极速套餐,一般,中高风险,9,21
CM000232,潮流青年,女,23,甘肃,张掖,146,109.02,93.0,105,移动畅享套餐,三星S24,10086热线,游戏加速|音乐畅听|流量不限量,一般,中低风险,24,12
CM000233,学生群体,男,20,云南,昆明,111,40.12,66.8,146,全球通128元,iPhone 15 Pro,短信营业厅,兼职通话|假期短号|校园流量包,满意,中风险,5,47
CM000234,学生群体,男,12,西藏,昌都,50,32.77,79.2,142,5G融合套餐299,荣耀Magic6,10086热线,兼职通话|学习APP免流|假期短号,满意,中高风险,24,1
CM000235,银发一族,女,57,云南,曲靖,64,28.34,3.7,167,全球通88元,华为Mate 60,APP,防诈提醒|大字版APP|语音畅聊包,非常满意,中低风险,19,88
CM000236,家庭用户,女,50,浙江,绍兴,108,135.22,58.6,749,5G融合套餐299,华为畅享,APP,家庭共享套餐|智能家居|儿童手表,一般,中风险,1,2
CM000237,家庭用户,男,41,北京,丰台区,203,209.95,54.0,419,和家庭198,小米14,网上营业厅,智能家居|儿童手表|宽带融合,不满意,低风险,27,0
CM000238,家庭用户,男,41,云南,大理,229,170.58,14.1,485,5G融合套餐299,iPhone SE,网上营业厅,儿童手表|家庭共享套餐|亲情号码,非常满意,中风险,8,13
CM000239,银发一族,女,73,广西,桂林,86,53.45,4.8,148,全球通88元,三星S24,10086热线,健康监测|防诈提醒|语音畅聊包,满意,低风险,9,0
CM000240,蓝领工人,男,25,四川,宜宾,92,58.49,26.8,316,全球通188元,OPPO Find X6,网上营业厅,老乡号码|视频通话|闲时流量,满意,低风险,12,9
CM000241,银发一族,女,72,甘肃,天水,176,39.98,1.8,477,5G智享套餐,三星S24,网上营业厅,防诈提醒|紧急呼叫|大字版APP,一般,高风险,16,0
CM000242,学生群体,男,13,湖南,株洲,40,49.86,28.1,148,全球通188元,realme GT5,10086热线,学习APP免流|假期短号|兼职通话,不满意,中风险,1,15
CM000243,家庭用户,女,36,广东,广州,142,214.66,13.5,325,5G融合套餐299,小米14,APP,智能家居|儿童手表|家庭共享套餐,满意,低风险,15,14
CM000244,潮流青年,男,22,青海,海东,86,121.07,46.2,75,全球通388元,vivo X100,短信营业厅,社交免流|音乐畅听|视频会员,不满意,中风险,18,7
CM000245,家庭用户,女,31,贵州,贵阳,113,219.77,29.9,634,全球通88元,OPPO Find X6,10086热线,亲情号码|智能家居|儿童手表,不满意,中低风险,18,32
CM000246,蓝领工人,男,41,四川,南充,224,48.74,19.2,585,和家庭168,iPhone 14,短信营业厅,闲时流量|语音优惠|老乡号码,不满意,中风险,9,38
CM000247,家庭用户,女,38,黑龙江,齐齐哈尔,13,102.78,28.5,445,全球通88元,华为畅享,网上营业厅,宽带融合|亲情号码|家庭共享套餐,一般,中低风险,12,24
CM000248,学生群体,男,16,上海,浦东新区,19,25.35,61.0,41,移动大流量卡,iPhone 15 Pro,短信营业厅,夜间流量|校园流量包|学习APP免流,一般,中低风险,29,43
CM000249,银发一族,女,62,山西,临汾,176,44.83,1.0,267,神州行孝心卡,realme GT5,短信营业厅,大字版APP|健康监测|语音畅聊包,满意,中风险,29,2
CM000250,潮流青年,男,25,上海,徐汇区,141,112.47,70.3,82,移动大流量卡,iPhone 15 Pro,营业厅,社交免流|游戏加速|视频会员,一般,高风险,23,11
CM000251,学生群体,男,17,吉林,长春,105,39.74,42.8,74,移动畅享套餐,iPhone 15 Pro,短信营业厅,夜间流量|兼职通话|校园流量包,非常满意,中风险,3,92
CM000252,潮流青年,女,25,湖北,黄石,46,79.24,73.9,104,全球通88元,华为P60,网上营业厅,音乐畅听|社交免流|流量不限量,一般,低风险,15,4
CM000253,蓝领工人,男,45,四川,德阳,76,82.93,24.7,247,5G融合套餐299,Redmi Note 12,短信营业厅,闲时流量|视频通话|语音优惠,满意,低风险,11,19
CM000254,学生群体,女,14,山西,大同,32,55.49,62.9,91,5G智享套餐,Redmi Note 12,网上营业厅,假期短号|夜间流量|校园流量包,满意,中低风险,12,3
CM000255,学生群体,男,21,浙江,嘉兴,189,38.85,66.9,80,动感地带18元,iPhone 15 Pro,10086热线,假期短号|夜间流量|校园流量包,一般,中风险,22,38
CM000256,银发一族,女,67,吉林,吉林,150,34.14,3.7,388,全球通288元,三星S24,营业厅,大字版APP|紧急呼叫|防诈提醒,不满意,低风险,5,18
CM000257,潮流青年,男,23,甘肃,天水,47,114.79,106.6,204,全球通88元,Redmi Note 12,网上营业厅,社交免流|音乐畅听|流量不限量,一般,中高风险,15,10
CM000258,家庭用户,女,42,江西,赣州,109,106.92,25.0,650,动感地带18元,iPhone SE,APP,儿童手表|家庭共享套餐|智能家居,一般,中低风险,25,1
CM000259,潮流青年,女,18,河南,郑州,40,62.26,90.6,80,全球通388元,华为畅享,营业厅,社交免流|视频会员|音乐畅听,一般,高风险,18,49
CM000260,潮流青年,女,23,海南,海口,179,58.64,72.1,56,移动大流量卡,华为Mate 60,APP,音乐畅听|社交免流|视频会员,满意,低风险,2,1
CM000261,商务精英,男,45,四川,宜宾,51,541.16,64.0,492,和家庭168,iPhone 15 Pro,网上营业厅,商务彩铃|云存储|国际漫游,非常满意,中低风险,21,34
CM000262,蓝领工人,男,49,内蒙古,呼和浩特,15,58.71,23.7,350,动感地带18元,iPhone 14,短信营业厅,老乡号码|闲时流量|视频通话,一般,低风险,6,109
CM000263,学生群体,男,15,吉林,长春,177,39.18,72.3,142,全球通288元,荣耀Magic6,短信营业厅,夜间流量|学习APP免流|校园流量包,一般,中高风险,10,9
CM000264,家庭用户,男,34,青海,海东,55,225.72,25.2,555,全球通88元,vivo X100,营业厅,亲情号码|智能家居|儿童手表,一般,中风险,5,0
CM000265,潮流青年,男,25,广西,北海,147,63.89,76.9,113,神州行38元,小米13,网上营业厅,视频会员|流量不限量|音乐畅听,非常满意,中低风险,31,34
CM000266,潮流青年,男,22,天津,南开区,120,45.59,139.8,229,全球通288元,华为P60,营业厅,视频会员|流量不限量|社交免流,满意,低风险,15,21
CM000267,家庭用户,男,45,广东,佛山,98,144.73,26.7,317,和家庭168,iPhone 15 Pro,营业厅,智能家居|家庭共享套餐|宽带融合,不满意,中低风险,5,10
CM000268,银发一族,女,77,山东,潍坊,140,20.29,3.5,465,全球通128元,华为Mate 60,微信公众号,语音畅聊包|健康监测|大字版APP,非常不满意,低风险,10,78
CM000269,商务精英,女,41,山西,大同,60,497.17,91.0,1984,移动畅享套餐,OPPO Find X6,网上营业厅,企业VPN|云存储|国际漫游,满意,中高风险,13,23
CM000270,银发一族,女,61,江苏,苏州,127,40.2,3.9,394,全球通188元,realme GT5,营业厅,大字版APP|防诈提醒|语音畅聊包,满意,中低风险,7,66
CM000271,蓝领工人,女,38,湖南,岳阳,2,83.73,14.1,505,全球通88元,华为Mate 60,微信公众号,视频通话|老乡号码|语音优惠,非常满意,中低风险,16,79
CM000272,家庭用户,男,31,福建,莆田,195,119.71,14.7,734,全球通188元,小米13,APP,亲情号码|家庭共享套餐|智能家居,不满意,高风险,13,78
CM000273,蓝领工人,男,35,贵州,遵义,65,63.78,20.7,207,动感地带18元,Redmi Note 12,微信公众号,老乡号码|闲时流量|务工套餐,满意,中低风险,12,0
CM000274,学生群体,女,19,福建,泉州,190,40.15,34.8,118,移动大流量卡,华为Mate 60,短信营业厅,夜间流量|兼职通话|假期短号,一般,中高风险,1,23
CM000275,潮流青年,女,18,江西,景德镇,35,88.01,143.6,106,神州行38元,Redmi Note 12,短信营业厅,流量不限量|视频会员|游戏加速,一般,中高风险,11,31
CM000276,潮流青年,女,20,广东,广州,106,44.02,93.7,117,动感地带校园版,荣耀Magic6,10086热线,音乐畅听|社交免流|游戏加速,满意,低风险,19,108
CM000277,家庭用户,女,46,宁夏,吴忠,185,144.27,40.6,226,5G智享套餐,小米13,微信公众号,儿童手表|宽带融合|家庭共享套餐,非常满意,低风险,19,1
CM000278,商务精英,男,51,北京,丰台区,154,492.87,64.6,927,移动大流量卡,荣耀Magic6,网上营业厅,国际漫游|5G极速套餐|企业VPN,一般,中低风险,14,107
CM000279,家庭用户,女,37,天津,河西区,136,198.14,60.0,320,全球通188元,vivo X100,短信营业厅,儿童手表|亲情号码|智能家居,一般,中高风险,1,56
CM000280,商务精英,女,39,辽宁,锦州,48,307.61,62.1,316,全球通188元,小米13,微信公众号,5G极速套餐|商务彩铃|企业VPN,非常满意,中低风险,9,71
CM000281,蓝领工人,女,31,内蒙古,鄂尔多斯,38,73.51,23.7,278,和家庭198,小米13,APP,语音优惠|老乡号码|闲时流量,非常满意,高风险,6,42
CM000282,蓝领工人,男,25,贵州,毕节,134,64.94,26.1,297,神州行孝心卡,iPhone 15 Pro,APP,语音优惠|闲时流量|视频通话,不满意,低风险,24,58
CM000283,商务精英,男,53,内蒙古,鄂尔多斯,89,192.63,52.4,799,全球通128元,华为畅享,微信公众号,企业VPN|商务彩铃|国际漫游,一般,低风险,22,9
CM000284,商务精英,男,43,湖北,襄阳,214,329.53,36.6,1076,5G融合套餐299,Redmi Note 12,营业厅,云存储|国际漫游|企业VPN,不满意,中高风险,20,23
CM000285,商务精英,女,34,天津,河北区,210,413.0,27.0,699,全球通288元,小米13,微信公众号,商务彩铃|云存储|企业VPN,满意,中高风险,19,23
CM000286,商务精英,男,35,浙江,温州,89,155.98,53.6,1139,5G融合套餐299,iPhone 14,营业厅,5G极速套餐|云存储|国际漫游,一般,中高风险,11,6
CM000287,家庭用户,女,39,云南,玉溪,138,146.82,16.5,245,全球通288元,iPhone SE,微信公众号,亲情号码|智能家居|儿童手表,非常不满意,中高风险,15,130
CM000288,银发一族,男,65,青海,德令哈,130,56.45,0.8,595,全球通88元,小米13,营业厅,健康监测|紧急呼叫|大字版APP,一般,低风险,15,18
CM000289,潮流青年,女,24,福建,漳州,155,48.99,78.8,255,全球通128元,荣耀Magic6,营业厅,社交免流|视频会员|音乐畅听,满意,中低风险,12,35
CM000290,商务精英,女,49,宁夏,固原,112,499.15,41.6,1766,神州行孝心卡,小米14,微信公众号,商务彩铃|企业VPN|国际漫游,一般,中低风险,6,32
CM000291,潮流青年,女,27,山东,临沂,99,88.06,82.0,257,动感地带18元,荣耀Magic6,短信营业厅,视频会员|音乐畅听|社交免流,满意,中风险,20,26
CM000292,家庭用户,女,43,河南,洛阳,200,197.61,25.0,600,5G融合套餐299,华为P60,10086热线,亲情号码|宽带融合|家庭共享套餐,非常满意,高风险,4,15
CM000293,潮流青年,女,26,黑龙江,哈尔滨,32,79.33,142.6,80,移动大流量卡,三星S24,10086热线,游戏加速|视频会员|流量不限量,一般,中低风险,11,15
CM000294,银发一族,男,76,湖南,株洲,215,40.77,3.0,352,全球通188元,realme GT5,微信公众号,紧急呼叫|健康监测|防诈提醒,满意,低风险,17,0
CM000295,潮流青年,男,22,陕西,宝鸡,233,82.99,77.8,151,移动大流量卡,三星S24,网上营业厅,社交免流|视频会员|音乐畅听,一般,低风险,1,78
CM000296,银发一族,女,80,青海,德令哈,105,54.79,1.0,131,和家庭168,小米13,APP,语音畅聊包|防诈提醒|紧急呼叫,满意,低风险,14,23
CM000297,潮流青年,女,24,宁夏,吴忠,12,92.62,79.7,94,动感地带校园版,Redmi Note 12,10086热线,社交免流|音乐畅听|流量不限量,不满意,中低风险,19,20
CM000298,学生群体,女,18,云南,曲靖,13,24.68,52.4,52,5G融合套餐299,华为P60,10086热线,学习APP免流|夜间流量|兼职通话,满意,中低风险,28,27
CM000299,潮流青年,男,24,湖南,株洲,218,78.4,118.4,130,全球通128元,realme GT5,营业厅,游戏加速|视频会员|社交免流,一般,低风险,16,36
CM000300,学生群体,男,13,福建,厦门,172,54.51,50.2,111,动感地带校园版,vivo X100,微信公众号,夜间流量|兼职通话|校园流量包,一般,低风险,5,38
CM000301,潮流青年,女,17,宁夏,中卫,188,66.15,100.6,143,全球通188元,荣耀Magic6,营业厅,视频会员|音乐畅听|社交免流,一般,低风险,21,21
CM000302,银发一族,女,74,湖北,宜昌,24,34.96,2.1,330,动感地带校园版,iPhone 15 Pro,10086热线,健康监测|语音畅聊包|紧急呼叫,满意,中低风险,8,1
CM000303,商务精英,男,51,辽宁,大连,25,364.68,80.4,1758,5G智享套餐,iPhone SE,短信营业厅,云存储|5G极速套餐|商务彩铃,不满意,中高风险,21,2
CM000304,银发一族,女,58,重庆,南岸区,83,43.77,4.0,176,全球通288元,iPhone SE,网上营业厅,大字版APP|语音畅聊包|健康监测,满意,低风险,16,11
CM000305,商务精英,男,46,河南,郑州,239,539.58,77.4,762,移动大流量卡,小米14,网上营业厅,国际漫游|企业VPN|5G极速套餐,满意,中风险,27,58
CM000306,家庭用户,女,49,福建,漳州,220,139.47,42.5,283,全球通188元,iPhone SE,短信营业厅,宽带融合|儿童手表|亲情号码,一般,低风险,10,18
CM000307,潮流青年,男,20,广西,北海,202,99.9,69.1,165,全球通288元,华为Mate 60,营业厅,游戏加速|流量不限量|音乐畅听,满意,中低风险,21,12
CM000308,商务精英,女,47,上海,徐汇区,67,386.55,72.6,1073,全球通188元,华为P60,网上营业厅,企业VPN|国际漫游|云存储,一般,中风险,19,1
CM000309,商务精英,男,44,海南,琼海,201,439.95,32.6,1676,全球通128元,iPhone SE,10086热线,商务彩铃|国际漫游|云存储,一般,低风险,28,3
CM000310,家庭用户,女,41,福建,漳州,54,182.92,10.5,281,动感地带18元,华为P60,短信营业厅,儿童手表|智能家居|家庭共享套餐,满意,中风险,4,105
CM000311,家庭用户,男,31,海南,海口,196,94.38,17.8,702,移动大流量卡,小米14,营业厅,亲情号码|儿童手表|智能家居,一般,中低风险,1,126
CM000312,潮流青年,男,18,山东,临沂,104,105.68,138.0,150,全球通88元,OPPO Find X6,网上营业厅,视频会员|音乐畅听|流量不限量,满意,中低风险,9,37
CM000313,家庭用户,女,43,天津,河西区,111,234.91,36.1,209,和家庭198,小米14,10086热线,宽带融合|家庭共享套餐|儿童手表,满意,中风险,21,33
CM000314,潮流青年,女,21,北京,海淀区,93,124.9,132.6,221,全球通88元,iPhone 15 Pro,10086热线,音乐畅听|流量不限量|视频会员,一般,中低风险,21,10
CM000315,蓝领工人,女,38,广西,桂林,172,94.44,31.9,253,移动大流量卡,三星S24,APP,老乡号码|务工套餐|语音优惠,非常满意,中风险,36,29
CM000316,家庭用户,女,38,山东,济南,91,234.12,34.3,327,神州行孝心卡,iPhone SE,10086热线,智能家居|宽带融合|儿童手表,不满意,中高风险,7,57
CM000317,蓝领工人,男,43,甘肃,兰州,210,64.81,29.8,209,5G融合套餐299,华为畅享,短信营业厅,闲时流量|视频通话|务工套餐,满意,中高风险,7,8
CM000318,家庭用户,男,41,广东,深圳,204,144.66,33.0,777,全球通88元,三星S24,APP,智能家居|家庭共享套餐|宽带融合,非常不满意,中低风险,5,18
CM000319,潮流青年,男,24,广西,南宁,226,78.11,77.0,83,全球通388元,小米13,营业厅,视频会员|游戏加速|社交免流,满意,中低风险,16,8
CM000320,银发一族,男,63,湖南,湘潭,223,51.42,4.2,586,和家庭198,三星S24,APP,语音畅聊包|健康监测|防诈提醒,一般,中低风险,11,65
CM000321,商务精英,男,55,重庆,南岸区,201,197.84,59.2,1253,和家庭168,vivo X100,营业厅,云存储|企业VPN|国际漫游,满意,中低风险,20,5
CM000322,学生群体,男,18,海南,文昌,97,33.15,69.2,101,全球通388元,vivo X100,APP,兼职通话|假期短号|学习APP免流,不满意,中风险,27,3
CM000323,商务精英,男,55,山西,大同,239,381.13,93.0,1705,移动大流量卡,小米14,网上营业厅,国际漫游|企业VPN|5G极速套餐,满意,中低风险,15,44
CM000324,家庭用户,女,44,吉林,四平,25,170.89,36.2,628,5G智享套餐,realme GT5,微信公众号,家庭共享套餐|亲情号码|儿童手表,满意,高风险,13,139
CM000325,蓝领工人,女,35,浙江,杭州,126,88.39,26.9,299,全球通288元,iPhone 15 Pro,微信公众号,语音优惠|闲时流量|务工套餐,满意,中低风险,17,19
CM000326,家庭用户,女,42,贵州,贵阳,138,214.16,39.9,796,动感地带校园版,Redmi Note 12,微信公众号,家庭共享套餐|智能家居|宽带融合,一般,低风险,1,0
CM000327,学生群体,男,19,辽宁,鞍山,171,23.77,24.1,52,和家庭198,华为P60,营业厅,夜间流量|假期短号|兼职通话,满意,低风险,19,66
